postcode,easting,northing,price
EH4 1RP,323588.0,675585.0,440000
EH11 1JZ,323944.0,672236.0,345000
EH13 9QL,322851.0,668731.0,260995
EH9 3AB,326318.0,671275.0,290000
EH10 5TH,323403.0,669906.0,945000
EH4 1JP,324225.0,674585.0,325000
EH6 7FD,327558.0,676435.0,236995
EH6 5DW,326452.0,675586.0,225000
EH4 2EX,323174.0,674291.0,811000
EH29 9LA,312966.0,675002.0,450000
EH10 7ES,325033.0,667847.0,540000
EH11 4NW,319898.0,670629.0,164000
EH3 9GZ,325357.0,672877.0,360000
EH9 1RZ,326993.0,671951.0,500000
EH14 2AT,321181.0,671010.0,155000
EH12 7LG,319746.0,672627.0,170000
EH12 7HH,320154.0,672668.0,396444
EH13 9HQ,323610.0,669189.0,155000
EH3 5NG,325003.0,675725.0,435120
EH6 8RA,326713.0,675274.0,246750
EH14 2LB,321392.0,670255.0,100000
EH12 8UR,318584.0,673993.0,260000
EH6 5QH,325939.0,676080.0,245000
EH13 9HL,323710.0,669303.0,129995
EH12 7QD,319541.0,672207.0,330000
EH7 4QY,325258.0,675911.0,465000
EH11 1PS,322981.0,671959.0,145000
EH14 1LS,322220.0,670792.0,247500
EH16 6LP,327079.0,669482.0,475000
EH4 2BQ,322330.0,674490.0,170000
EH14 1QP,322449.0,671507.0,176176
EH6 7FJ,327670.0,676161.0,306000
EH10 5FB,323393.0,670741.0,555000
EH21 8FP,333638.0,671082.0,270000
EH8 9SB,326508.0,672906.0,150000
EH9 3HN,325987.0,671052.0,275000
EH7 4NH,326020.0,675178.0,349000
EH10 4EL,324537.0,672138.0,413000
EH14 1AH,323343.0,671323.0,540000
EH16 5JS,327333.0,671659.0,368600
EH7 6EY,328240.0,675208.0,163000
EH12 7SU,319957.0,672686.0,147500
EH3 9DQ,325104.0,673123.0,185000
EH7 4JA,325780.0,675266.0,455000
EH8 7RR,329194.0,673393.0,150100
EH16 5DW,327337.0,671841.0,412000
EH7 4EB,325463.0,675080.0,275000
EH4 8EY,317971.0,674782.0,510000
EH12 8JA,318137.0,673281.0,628450
EH10 4RF,324740.0,670993.0,380000
EH15 2AN,330645.0,673770.0,170000
EH10 4RF,324740.0,670993.0,380000
EH12 8PW,320090.0,673636.0,320000
EH11 2HX,323622.0,672846.0,165000
EH9 2AG,325217.0,671908.0,385000
EH6 8RP,326970.0,675127.0,160000
EH6 8BR,327289.0,675653.0,230000
EH6 5QW,325995.0,675780.0,237500
EH1 1TF,326109.0,673651.0,570000
EH11 1NP,323441.0,671724.0,475000
EH5 1GG,323728.0,677437.0,291000
EH12 8JN,318618.0,673052.0,430000
EH5 3QR,324330.0,676233.0,480000
EH8 7QJ,328734.0,673797.0,251240
EH11 1TU,322961.0,672243.0,232500
EH11 1UR,323006.0,672185.0,150000
EH6 5QN,326037.0,676144.0,195000
EH11 1JH,324213.0,672473.0,265523
EH4 2UP,323587.0,674244.0,290000
EH7 4FN,326389.0,675045.0,385000
EH17 8UP,328192.0,667734.0,260000
EH4 6HJ,319040.0,675160.0,400000
EH4 2DS,323204.0,674410.0,572000
EH11 2TH,323672.0,672964.0,250000
EH10 4RF,324740.0,670993.0,750000
EH7 5AZ,327050.0,674526.0,237000
EH10 5EA,324318.0,671534.0,745000
EH4 2SU,321846.0,675181.0,185000
EH21 6TG,333239.0,672201.0,161200
EH6 4RY,325335.0,676656.0,370000
EH5 2QN,323473.0,676187.0,221000
EH8 8EZ,327194.0,674169.0,165000
EH6 5LD,326801.0,676108.0,218300
EH11 1TL,323117.0,672262.0,145000
EH7 6NB,328890.0,674738.0,154000
EH3 5QP,324758.0,675882.0,355000
EH13 9HE,323514.0,669148.0,145000
EH17 8RF,329144.0,668579.0,148000
EH17 8ND,328482.0,668353.0,155000
EH3 8AB,324435.0,672988.0,185000
EH16 6RZ,327611.0,669429.0,142500
EH4 1DB,323773.0,674544.0,462000
EH17 8ZD,329267.0,668113.0,312995
EH11 1UR,323006.0,672185.0,155000
EH16 5UD,327372.0,670640.0,301800
EH6 8JZ,327091.0,675177.0,175000
EH13 0PL,321855.0,669176.0,963323
EH6 7FD,327558.0,676435.0,378995
EH17 8ZN,329426.0,668017.0,329995
EH30 9DJ,313503.0,677173.0,220000
EH11 1GW,322907.0,671965.0,262000
EH4 1PG,323971.0,674286.0,594000
EH4 2EQ,322891.0,674406.0,840000
EH6 6AN,326748.0,676959.0,295000
EH10 5HZ,324460.0,670862.0,260000
EH10 7HW,324192.0,667981.0,615000
EH10 5TE,324147.0,670165.0,970089
EH3 5DZ,325143.0,674970.0,238500
