postcode,price,easting,northing
EC2A 4LE,1390000,532982.0,182456.0
N20 9ER,155000,526733.0,193981.0
W9 3LY,470000,525067.0,182287.0
NW2 1AP,622250,523595.0,186922.0
N1 1ZT,655000,531614.0,183887.0
N17 6XW,435000,533417.0,189702.0
W3 9SE,460000,519242.0,180141.0
N17 6XW,435000,533417.0,189702.0
E1W 2AW,1417700,534328.0,180535.0
NW10 7GN,525000,519293.0,182582.0
W13 8BL,430000,516946.0,180582.0
E9 5TU,620000,537071.0,184698.0
NW3 2EN,790000,527557.0,185380.0
,10000,,
N1 9EN,777500,531327.0,183337.0
E1W 2AW,1250000,534328.0,180535.0
W3 7TP,450000,521260.0,179836.0
E9 5TY,550000,536297.0,184890.0
W5 1BF,290000,518313.0,182752.0
E1 2FY,523200,535007.0,181693.0
NW7 1BZ,1249995,524199.0,191947.0
NW7 1UX,415000,524100.0,191553.0
NW7 1RW,825123,524319.0,192150.0
E14 9XZ,608000,537145.0,180048.0
E14 7DJ,685000,537101.0,181248.0
W5 2UB,156250,518079.0,181803.0
WC1X 0BU,939675,531023.0,182190.0
W9 3BF,513513,524663.0,182250.0
NW6 5FU,896000,525525.0,183432.0
SE2 9FB,292800,547376.0,179722.0
SW19 1FW,600000,526504.0,170471.0
SE2 9FB,430050,547376.0,179722.0
SW19 1FW,600000,526504.0,170471.0
SW19 1FW,455000,526504.0,170471.0
SE26 5FQ,364000,536921.0,171238.0
W6 0DQ,1950000,523054.0,178745.0
SW7 5ED,845000,526111.0,179634.0
SW19 1ED,417500,525667.0,170437.0
SW17 0RF,600000,526198.0,171749.0
SE26 5PW,325000,535526.0,171091.0
SE28 8QR,220000,548022.0,181179.0
SW20 8DH,422500,524033.0,169407.0
SW17 0HF,567500,526225.0,171957.0
SE28 8QL,195000,547866.0,181297.0
SE2 9FJ,441750,547429.0,179838.0
SE17 3FX,1461500,531722.0,178131.0
SW18 4GB,345000,525601.0,174225.0
SW15 5GA,1075000,522288.0,174128.0
SW11 5ER,545000,528204.0,175819.0
SW18 4GU,675000,525621.0,173292.0
SE3 9GT,730000,540957.0,175474.0
SW11 8BD,955000,528884.0,177513.0
SW11 8BA,3575000,528992.0,177492.0
SE27 9PF,500000,532395.0,171761.0
SW8 1GG,667200,530249.0,177575.0
SE24 9DQ,390000,532176.0,173828.0
SE14 5TG,405000,535717.0,176628.0
E2 9FR,670000,534777.0,183432.0
SE7 7GE,550000,540605.0,178169.0
SE7 7GD,450000,540642.0,178179.0
E16 1QH,625000,539600.0,181157.0
SW19 6NW,450000,524706.0,173209.0
SW15 2DR,735000,524145.0,175112.0
E20 1PD,636000,537803.0,185123.0
SE15 4NF,143750,534398.0,176021.0
SW17 9PX,267500,528418.0,171344.0
E6 5XY,250000,542682.0,181888.0
SE1 3EF,430000,533627.0,179374.0
SE7 7LH,600000,540603.0,177958.0
SW2 3QD,480000,531324.0,173312.0
SE13 6DT,310000,538664.0,174685.0
SE28 8EA,175000,546702.0,180773.0
,875000,,
SE10 8UG,437000,537889.0,177142.0
SW12 9LA,525000,528869.0,173961.0
SW8 4DH,450000,528855.0,176810.0
SE3 0RS,10000,539691.0,176194.0
SW19 6BS,1104500,523831.0,173562.0
E6 1FH,314000,542420.0,183645.0
SW11 8BR,1786500,528944.0,177338.0
SW19 6BS,1198500,523831.0,173562.0
SW11 3QF,561750,526820.0,176147.0
SE15 5ED,450000,534243.0,176738.0
SW8 1GQ,520000,530310.0,177797.0
SW8 1GQ,750000,530310.0,177797.0
SE8 5BZ,20000,536727.0,177936.0
SW2 1QN,250000,530718.0,174555.0
SW11 1NG,70000,527483.0,175064.0
NW4 3TA,380000,522262.0,188194.0
SW6 4BN,970000,525320.0,176686.0
SW1P 3BP,1900000,529992.0,179232.0
SW1V 3BA,368000,529361.0,178079.0
SW1V 4NF,740000,528924.0,178308.0
NW3 1TU,700000,526586.0,185738.0
NW3 4JJ,1150000,527143.0,184763.0
W5 2XA,940000,517630.0,180736.0
E1 3FU,369000,535193.0,181305.0
W7 1EB,7300000,515857.0,181642.0
E14 3AH,150,537927.0,178389.0
,4655000,,
,5545750,,
W3 7RB,42694,520796.0,180011.0
W3 7RB,42694,520796.0,180011.0
E6 1FH,453000,542420.0,183645.0
E6 1FH,314000,542420.0,183645.0
E6 1FH,453000,542420.0,183645.0
E6 1FH,453000,542420.0,183645.0
E6 1FH,453000,542420.0,183645.0
E6 1FH,349000,542420.0,183645.0
E6 1FH,314000,542420.0,183645.0
E6 1FH,453000,542420.0,183645.0
W3 7RB,42694,520796.0,180011.0
W3 7RB,42694,520796.0,180011.0
W3 7RB,42649,520796.0,180011.0
W3 7RB,42694,520796.0,180011.0
W3 7RB,42694,520796.0,180011.0
W3 7RB,42694,520796.0,180011.0
W3 7RB,42694,520796.0,180011.0
NW4 4NL,510000,522476.0,188683.0
NW4 4NL,510000,522476.0,188683.0
W5 4YH,130000,518419.0,179653.0
NW9 7RT,10000,521229.0,188391.0
NW3 4JN,5000,527260.0,184711.0
,25000,,
N22 8LY,240000,530735.0,191391.0
NW9 7FX,401850,521956.0,187861.0
E1W 2DG,1330000,534405.0,180594.0
E14 0NY,401760,538476.0,181202.0
EC3N 1BL,10300000,533705.0,181078.0
E1 2FQ,671175,534924.0,181755.0
E1W 2DG,1328000,534405.0,180594.0
E1W 2DP,1305000,534407.0,180548.0
