Address,Price
"3/4 Rocheid Park, Edinburgh, EH4 1RP","£440,000  on 29 August 2024"
"4 Mertoun Place, Edinburgh, EH11 1JZ","£345,000  on 29 August 2024"
"18/2, The Gallolee, Edinburgh, EH13 9QL","£260,995  on 29 August 2024,£200,000  on 24 January 2020"
"1/1, West Savile Gardens, Edinburgh, EH9 3AB","£290,000  on 29 August 2024,£265,000  on 16 July 2021"
"19 Rattray Drive, Edinburgh, EH10 5TH","£945,000  on 29 August 2024"
"18 Dean Park Street, Edinburgh, EH4 1JP","£325,000  on 29 August 2024"
"Flat 12, 12 Margaret Thomson Crescent, Edinburgh, EH6 7FD","£236,995  on 29 August 2024"
"16/9, Balfour Place, Edinburgh, EH6 5DW","£225,000  on 29 August 2024,£195,000  on 29 July 2022"
"65 Orchard Road, Edinburgh, EH4 2EX","£811,000  on 29 August 2024,£710,250  on 17 January 2020"
"18 Almondhill Steading, Kirkliston, EH29 9LA","£450,000  on 28 August 2024"
"21 Winton Drive, Edinburgh, EH10 7ES","£540,000  on 28 August 2024"
"15 Sighthill Gardens, Edinburgh, EH11 4NW","£164,000  on 28 August 2024,£151,000  on 21 May 2021"
"Flat 37, 3 Simpson Loan, Edinburgh, EH3 9GZ","£360,000  on 28 August 2024"
"36/2, Mayfield Terrace, Edinburgh, EH9 1RZ","£500,000  on 28 August 2024"
"44 Longstone Crescent, Edinburgh, EH14 2AT","£155,000  on 28 August 2024"
"1/25 Ladywell Avenue, Edinburgh, EH12 7LG","£170,000  on 27 August 2024,£140,000  on 27 November 2020"
"16 Corstorphine Park Gardens, Edinburgh, EH12 7HH","£396,444  on 27 August 2024"
"Flat 6, 7 Oxgangs Crescent, Edinburgh, EH13 9HQ","£155,000  on 27 August 2024"
"12 Warriston Gardens, Edinburgh, EH3 5NG","£435,120  on 27 August 2024"
"20/3, Dalmeny Street, Edinburgh, EH6 8RA","£246,750  on 27 August 2024"
"13 Arnott Gardens, Edinburgh, EH14 2LB","£100,000  on 26 August 2024"
"53 Bughtlin Park, Edinburgh, EH12 8UR","£260,000  on 26 August 2024"
"1/5, Bonnington Avenue, Edinburgh, EH6 5QH","£245,000  on 26 August 2024"
"26/4 Oxgangs Crescent, Edinburgh, EH13 9HL","£129,995  on 26 August 2024"
"48 Broomhall Gardens, Edinburgh, EH12 7QD","£330,000  on 23 August 2024"
"59 Easter Warriston, Edinburgh, EH7 4QY","£465,000  on 23 August 2024"
"26/3, Robertson Avenue, Edinburgh, EH11 1PS","£145,000  on 23 August 2024"
"Flat 11, 59 Craiglockhart Avenue, Edinburgh, EH14 1LS","£247,500  on 23 August 2024"
"49 Alnwickhill Road, Edinburgh, EH16 6LP","£475,000  on 23 August 2024"
"1/7, Maidencraig Court, Edinburgh, EH4 2BQ","£170,000  on 23 August 2024"
"38/3, Hutchison Avenue, Edinburgh, EH14 1QP","£176,176  on 23 August 2024"
"Flat 19, 19 Pillans Place, Edinburgh, EH6 7FJ","£306,000  on 23 August 2024,£270,000  on 8 October 2021"
"Flat 3, 47 Sassoon Grove, Edinburgh, EH10 5FB","£555,000  on 23 August 2024,£535,000  on 8 July 2021"
"75 Craighall Avenue, Musselburgh, EH21 8FP","£270,000  on 23 August 2024,£266,000  on 30 June 2023"
"59 St. Leonards Hill, Edinburgh, EH8 9SB","£150,000  on 23 August 2024"
"39/33 Blackford Avenue, Edinburgh, EH9 3HN","£275,000  on 23 August 2024"
"3c McDonald Place, Edinburgh, EH7 4NH","£349,000  on 23 August 2024,£360,000  on 4 November 2021"
